brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
52707,for_sale,650000,9,7,0.46,1902746,Mayaguez,Puerto Rico,680,3709,
86036,for_sale,555000,5,3,0.16,480944,Ponce,Puerto Rico,730,3100,
63639,for_sale,3900000,6,6,0.94,269007,Penuelas,Puerto Rico,624,9297,
52707,for_sale,400000,,,0.99,1857015,Moca,Puerto Rico,676,43082,
80224,for_sale,380000,,,18.45,1855421,Hatillo,Puerto Rico,659,,
52707,for_sale,95000,3,2,0.1,1868667,Aguada,Puerto Rico,602,600,
87549,for_sale,74000,3,1,0.09,1902824,Aguada,Puerto Rico,602,900,
108122,for_sale,139500,4,2,0.15,397960,Aguada,Puerto Rico,602,3000,
72457,for_sale,149900,1,1,0.26,1850822,Aguada,Puerto Rico,602,2100,
15143,for_sale,180000,2,2,0.24,1234696,Aguada,Puerto Rico,602,1138,
52707,for_sale,249000,3,2,0.13,1902736,Aguada,Puerto Rico,602,1380,
52707,for_sale,252000,6,4,0.23,1902727,Aguada,Puerto Rico,602,2500,
102017,for_sale,160000,2,1,,1842923,Aguada,Puerto Rico,602,813,
49045,for_sale,90000,2,1,0.07,1837494,Aguada,Puerto Rico,602,813,
46019,for_sale,500000,5,3,1.78,10282,Aguada,Puerto Rico,602,2962,
47983,for_sale,339000,4,2,0.1,268641,Aguada,Puerto Rico,602,1955,
89348,for_sale,265000,3,2,0.08,1868699,Aguada,Puerto Rico,602,1200,
55906,for_sale,10000000,6,5,0.12,1233063,Aguada,Puerto Rico,602,6000,
47983,for_sale,389000,3,4,2,1902739,Aguada,Puerto Rico,602,1880,
102017,for_sale,575000,3,2,2.96,1962620,Aguada,Puerto Rico,602,2500,
46019,for_sale,35000,,,0.88,1234597,Aguada,Puerto Rico,602,,
52464,for_sale,58000,,,0.21,1966337,Aguada,Puerto Rico,602,,
46019,for_sale,85000,,,21.08,1188097,Aguada,Puerto Rico,602,,
102017,for_sale,47000,,,0.57,1841588,Aguada,Puerto Rico,602,,
102017,for_sale,720000,3,3,,1667516,Aguada,Puerto Rico,602,2715,
102017,for_sale,375000,7,5,0.31,166250,Aguada,Puerto Rico,602,2775,
46019,for_sale,50000,,,0.65,1946326,Aguada,Puerto Rico,602,,
66561,for_sale,3250000,,6,0.06,1856959,Rincon,Puerto Rico,602,,
47983,for_sale,39500,,,0.24,1902841,Aguada,Puerto Rico,602,,
102017,for_sale,249500,,,33.35,1032552,Aguada,Puerto Rico,602,,
46019,for_sale,1399000,5,3,8.74,6714,Aguada,Puerto Rico,602,5517,
60830,for_sale,600000,6,5,0.1,1946165,Aguada,Puerto Rico,602,2400,
102017,for_sale,649000,,,2.64,1946165,Aguada,Puerto Rico,602,,
47983,for_sale,189000,2,1,,1902894,Aguada,Puerto Rico,602,951,
52707,for_sale,150000,,,1.46,1902798,Aguada,Puerto Rico,602,,
107152,for_sale,74000,,,0.21,1966339,Aguada,Puerto Rico,602,,
102017,for_sale,65500,,,0.28,16882,Aguada,Puerto Rico,602,,
102017,for_sale,67500,,,0.28,1760196,Aguada,Puerto Rico,602,,
107152,for_sale,74000,,,0.21,1842584,Aguada,Puerto Rico,602,,
88086,for_sale,130000,,,0.42,1902763,Aguada,Puerto Rico,602,,
46019,for_sale,95000,,,0.37,1188098,Aguada,Puerto Rico,602,,
47983,for_sale,329000,,,0.23,939073,Rincon,Puerto Rico,602,,
46019,for_sale,130000,,,0.68,6711,Aguada,Puerto Rico,602,,
102017,for_sale,94770,,,0.25,166251,Aguada,Puerto Rico,602,,
88086,for_sale,150000,,,0.38,1902760,Aguada,Puerto Rico,602,,
46019,for_sale,165000,,,0.4,167086,Aguada,Puerto Rico,602,,
107152,for_sale,215000,3,2,0.22,595559,Aguadilla,Puerto Rico,603,2070,
52707,for_sale,63000,3,2,0.05,1856967,Aguadilla,Puerto Rico,603,1184,
107152,for_sale,215000,3,2,0.22,1268649,Aguadilla,Puerto Rico,603,1900,
48586,for_sale,115000,3,1,0.2,1962563,Aguadilla,Puerto Rico,603,980,
52707,for_sale,99000,4,2,0.89,1499349,Aguadilla,Puerto Rico,603,1408,
102017,for_sale,850000,5,5,0.62,792809,Aguadilla,Puerto Rico,603,8460,
92147,for_sale,140000,3,2,0.11,1868702,Aguadilla,Puerto Rico,603,1116,
1123,for_sale,499000,4,3,0.26,117065,Aguadilla,Puerto Rico,603,3734,
87549,for_sale,180000,3,2,0.17,846259,Aguadilla,Puerto Rico,603,1500,
61710,for_sale,225900,6,3,0.49,1946283,Aguadilla,Puerto Rico,603,2618,
65672,for_sale,260000,4,2,0.12,1136713,Aguadilla,Puerto Rico,603,1760,
102017,for_sale,31179,,,0.13,1987983,Aguadilla,Puerto Rico,603,,
52707,for_sale,500000,4,3,0.33,1902866,Aguadilla,Puerto Rico,603,2950,
103378,for_sale,225000,3,2,0.21,1838380,Aguada,Puerto Rico,603,1565,
46019,for_sale,28000,,,0.25,1236850,Aguadilla,Puerto Rico,603,,
